iter	Passed	Remaining
0	180	180676
1	237	118530
2	301	100331
3	335	83531
4	399	79515
5	463	76736
6	520	73841
7	582	72213
8	642	70736
9	705	69803
10	755	67954
11	805	66325
12	853	64812
13	901	63470
14	951	62458
15	999	61496
16	1050	60720
17	1105	60335
18	1155	59669
19	1203	58995
20	1253	58439
21	1303	57962
22	1351	57419
23	1401	56989
24	1450	56571
25	1501	56244
26	1551	55920
27	1584	55003
28	1634	54711
29	1682	54394
30	1731	54133
31	1780	53852
32	1828	53587
33	1877	53338
34	1928	53174
35	1979	52997
36	2027	52769
37	2077	52599
38	2125	52379
39	2175	52204
40	2224	52033
41	2273	51847
42	2321	51664
43	2370	51513
44	2421	51394
45	2475	51340
46	2525	51218
47	2574	51065
48	2627	50995
49	2677	50870
50	2727	50760
51	2777	50631
52	2827	50514
53	2877	50405
54	2926	50277
55	2977	50192
56	2995	49549
57	3044	49449
58	3096	49383
59	3146	49290
60	3196	49206
61	3246	49119
62	3296	49025
63	3344	48912
64	3394	48830
65	3445	48763
66	3494	48666
67	3543	48568
68	3597	48544
69	3647	48461
70	3696	48363
71	3746	48285
72	3795	48199
73	3844	48111
74	3896	48052
75	3946	47976
76	3994	47880
77	4044	47803
78	4091	47698
79	4140	47610
80	4198	47640
81	4224	47294
82	4274	47221
83	4325	47172
84	4375	47104
85	4425	47036
86	4478	46997
87	4528	46931
88	4577	46856
89	4625	46765
90	4677	46723
91	4726	46650
92	4774	46566
93	4824	46498
94	4872	46420
95	4921	46342
96	4972	46288
97	5023	46241
98	5033	45813
99	5077	45694
100	5095	45359
101	5144	45291
102	5195	45244
103	5245	45191
104	5285	45055
105	5312	44802
106	5361	44747
107	5379	44429
108	5428	44370
109	5455	44138
110	5507	44111
111	5558	44073
112	5575	43766
113	5592	43464
114	5625	43290
115	5643	43010
116	5653	42668
117	5671	42388
118	5695	42165
119	5742	42115
120	5792	42082
121	5841	42039
122	5851	41719
123	5876	41517
124	5923	41466
125	5958	41330
126	6009	41306
127	6058	41276
128	6099	41186
129	6109	40889
130	6159	40857
131	6208	40824
132	6256	40786
133	6275	40558
134	6316	40469
135	6364	40436
136	6413	40399
137	6464	40382
138	6516	40367
139	6566	40336
140	6616	40309
141	6666	40281
142	6693	40111
143	6739	40064
144	6788	40027
145	6798	39765
146	6846	39728
147	6856	39470
148	6905	39441
149	6931	39276
150	6983	39264
151	7032	39232
152	7043	38990
153	7093	38970
154	7135	38898
155	7185	38873
156	7233	38842
157	7251	38643
158	7298	38604
159	7345	38564
160	7394	38534
161	7443	38506
162	7494	38484
163	7514	38306
164	7565	38284
165	7613	38251
166	7661	38216
167	7679	38030
168	7727	37999
169	7745	37814
